RIMNET DATASET STATISTICAL SUMMARY JANUARY - MARCH 2013,,,,,
,,,,,
01 January 2013 00:00 - 31 March 2013 23:59,,,,,
,,,,,
Units :   µGy/h  ,,,,,
,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
,,,,,
Aberdaron  ,1.10E-01,6.70E-03,1.06E-01,9.00E-02,1.30E-01
Aberporth  ,1.20E-01,7.14E-03,1.13E-01,9.00E-02,1.40E-01
Albemarle  ,1.00E-01,5.15E-03,9.73E-02,8.00E-02,1.20E-01
Aldergrove (Belfast Airport)  ,8.00E-02,5.26E-03,9.65E-02,9.00E-02,1.20E-01
Alderney  ,1.10E-01,7.72E-03,1.09E-01,9.00E-02,1.30E-01
Applecross  ,1.20E-01,7.87E-03,1.25E-01,1.00E-01,1.50E-01
Aultbea  ,1.00E-01,6.95E-03,1.03E-01,8.00E-02,1.30E-01
Aviemore  ,1.20E-01,5.04E-03,1.19E-01,1.00E-01,1.40E-01
Ballypatrick Forest  ,1.00E-01,9.30E-03,9.43E-02,7.00E-02,1.30E-01
Benbecula  ,9.00E-02,4.21E-03,9.11E-02,8.00E-02,1.10E-01
Bishopton  ,1.10E-01,4.74E-03,1.03E-01,9.00E-02,1.20E-01
Boscombe Down  ,1.10E-01,4.81E-03,9.72E-02,9.00E-02,1.10E-01
Boulmer  ,1.20E-01,4.10E-03,1.20E-01,1.10E-01,1.40E-01
Brize Norton  ,9.00E-02,6.09E-03,8.70E-02,7.00E-02,1.10E-01
Brooms Barn  ,9.00E-02,4.74E-03,9.32E-02,9.00E-02,1.10E-01
Camborne  ,1.30E-01,5.41E-03,1.25E-01,1.10E-01,1.40E-01
Cardington  ,1.20E-01,7.78E-03,1.22E-01,1.00E-01,1.50E-01
Carlisle  ,1.00E-01,4.33E-03,1.08E-01,1.00E-01,1.30E-01
Carmoney  ,1.10E-01,3.25E-03,1.01E-01,9.00E-02,1.20E-01
Charterhall  ,1.10E-01,4.86E-03,1.11E-01,1.00E-01,1.30E-01
Church Fenton  ,1.00E-01,7.03E-03,1.05E-01,8.00E-02,1.40E-01
Clunie  ,1.20E-01,4.08E-03,1.30E-01,1.20E-01,1.40E-01
Coleshill  ,1.00E-01,6.65E-03,1.03E-01,8.00E-02,1.30E-01
Coningsby  ,1.10E-01,3.62E-03,1.11E-01,1.00E-01,1.30E-01
Dalcross (Inverness Airport)  ,1.40E-01,6.15E-03,1.32E-01,1.20E-01,1.50E-01
Dyce (Aberdeen Airport)  ,1.10E-01,5.01E-03,1.21E-01,1.10E-01,1.40E-01
East Malling  ,1.00E-01,4.00E-03,9.92E-02,9.00E-02,1.20E-01
Enniskillen  *,1.00E-01,4.54E-03,1.02E-01,9.00E-02,1.20E-01
Eskdalemuir  ,1.00E-01,5.19E-03,1.15E-01,1.00E-01,1.30E-01
Eskmeals  ,1.00E-01,9.13E-03,1.02E-01,8.00E-02,1.40E-01
Exeter  ,1.40E-01,5.10E-03,1.52E-01,1.40E-01,1.70E-01
Fylingdales ,1.00E-01,1.10E-02,1.02E-01,9.00E-02,2.10E-01
Gatwick  ,1.20E-01,5.05E-03,9.67E-02,9.00E-02,1.10E-01
Glenanne  ,1.10E-01,5.02E-03,1.13E-01,1.00E-01,1.30E-01
Guernsey  ,9.00E-02,4.33E-03,9.84E-02,9.00E-02,1.20E-01
Heathrow  ,9.00E-02,5.20E-03,1.08E-01,1.00E-01,1.30E-01
Herstmonceux  ,1.00E-01,5.85E-03,1.05E-01,9.00E-02,1.30E-01
Hurn (Bournemouth)  ,1.00E-01,5.21E-03,9.39E-02,8.00E-02,1.20E-01
Inverbervie  ,1.10E-01,6.43E-03,1.12E-01,1.00E-01,1.30E-01
Jersey  ,1.10E-01,5.37E-03,1.11E-01,1.00E-01,1.40E-01
Kirkwall  ,1.10E-01,4.40E-03,1.21E-01,1.10E-01,1.40E-01
Lake Vyrnwy  ,1.20E-01,9.57E-03,1.15E-01,9.00E-02,1.50E-01
Langdon Bay  ,1.00E-01,4.58E-03,9.92E-02,9.00E-02,1.30E-01
Leconfield  ,1.10E-01,5.14E-03,9.62E-02,9.00E-02,1.20E-01
Leeming  ,1.00E-01,5.21E-03,9.56E-02,9.00E-02,1.20E-01
Lerwick  ,1.00E-01,5.20E-03,1.04E-01,9.00E-02,1.40E-01
Leuchars  ,1.00E-01,7.48E-03,1.12E-01,9.00E-02,1.40E-01
Liscombe  ,1.20E-01,9.66E-03,1.21E-01,1.00E-01,1.50E-01
London (Grays Inn)  ,9.00E-02,2.52E-03,9.02E-02,8.00E-02,1.00E-01
Lossiemouth  ,1.00E-01,4.45E-03,1.03E-01,9.00E-02,1.20E-01
Lydd (Airport)  ,9.00E-02,5.45E-03,8.86E-02,8.00E-02,1.50E-01
Machrihanish  ,1.00E-01,4.86E-03,8.98E-02,8.00E-02,1.10E-01
Manston  ,1.00E-01,5.02E-03,1.11E-01,1.00E-01,1.50E-01
Marham  ,9.00E-02,5.09E-03,8.40E-02,8.00E-02,1.10E-01
Mepal  ,1.00E-01,4.92E-03,9.70E-02,9.00E-02,1.10E-01
Milford Haven  ,1.20E-01,4.42E-03,1.09E-01,1.00E-01,1.20E-01
Mumbles Head  ,1.00E-01,7.64E-03,9.67E-02,8.00E-02,1.20E-01
Nottingham WC (Watnall)  ,1.10E-01,6.73E-03,9.37E-02,7.00E-02,1.20E-01
Oban  ,1.20E-01,5.38E-03,1.29E-01,1.10E-01,1.40E-01
Odiham  ,9.00E-02,5.44E-03,9.38E-02,8.00E-02,1.20E-01
Pershore  ,1.20E-01,4.49E-03,1.21E-01,1.10E-01,1.40E-01
Plymouth  ,1.20E-01,4.43E-03,1.12E-01,1.00E-01,1.30E-01
Portland Bill  ,9.00E-02,5.83E-03,8.39E-02,7.00E-02,1.10E-01
Prestwick  ,1.00E-01,6.41E-03,9.28E-02,8.00E-02,1.30E-01
Rhyl  ,1.10E-01,4.21E-03,1.08E-01,9.00E-02,1.20E-01
Ronaldsway (Isle of Man)  ,1.00E-01,7.26E-03,1.03E-01,8.00E-02,1.40E-01
Scilly  ,1.30E-01,5.23E-03,1.37E-01,1.30E-01,1.60E-01
Shawbury  ,1.00E-01,5.44E-03,9.56E-02,8.00E-02,1.30E-01
Shin  ,1.20E-01,4.73E-03,1.28E-01,1.20E-01,1.40E-01
Shobdon  ,1.20E-01,5.19E-03,1.21E-01,1.10E-01,1.50E-01
Shoeburyness  ,1.10E-01,6.20E-03,1.03E-01,9.00E-02,1.40E-01
Squires Gate (Blackpool)  ,9.00E-02,6.67E-03,9.46E-02,8.00E-02,1.20E-01
St Athan  ,1.10E-01,5.39E-03,1.07E-01,1.00E-01,1.60E-01
St Catherines (Isle of Wight)  ,1.10E-01,3.19E-03,1.01E-01,9.00E-02,1.20E-01
St Mawgan  ,1.20E-01,8.43E-03,1.25E-01,1.00E-01,1.60E-01
Stoer Head  ,1.30E-01,1.51E-02,9.88E-02,8.00E-02,1.30E-01
Stornoway  ,1.00E-01,5.02E-03,1.05E-01,1.00E-01,1.20E-01
Strathallan  ,1.10E-01,4.75E-03,1.17E-01,1.10E-01,1.30E-01
Thorney Island  ,1.00E-01,5.17E-03,1.07E-01,9.00E-02,1.30E-01
Tiree  ,9.00E-02,5.91E-03,7.78E-02,6.00E-02,1.00E-01
Trawscoed  ,1.20E-01,7.39E-03,1.17E-01,1.00E-01,1.40E-01
Tulloch Bridge  ,1.10E-01,4.72E-03,1.18E-01,1.00E-01,1.30E-01
Turnhouse (Edinburgh Airport)  ,1.00E-01,4.73E-03,9.21E-02,8.00E-02,1.10E-01
Valley  ,1.10E-01,5.93E-03,1.06E-01,9.00E-02,1.30E-01
Waddington  ,1.10E-01,3.91E-03,1.01E-01,9.00E-02,1.20E-01
Warcop Range  ,1.10E-01,4.86E-03,1.03E-01,9.00E-02,1.40E-01
Wattisham  ,1.00E-01,3.66E-03,1.00E-01,9.00E-02,1.20E-01
West Freugh  ,9.00E-02,4.02E-03,8.96E-02,8.00E-02,1.10E-01
Wick  ,1.10E-01,4.83E-03,1.23E-01,1.10E-01,1.40E-01
Wilsden (Bingley)  ,1.10E-01,7.27E-03,1.04E-01,9.00E-02,1.30E-01
Wittering  ,1.20E-01,5.11E-03,1.12E-01,1.00E-01,1.40E-01
Yeovilton  ,1.10E-01,4.46E-03,1.02E-01,9.00E-02,1.20E-01
,,,,,
,,,,,
Note,,,,,
,,,,,
"   * The RIMNET monitor equipment at St Angelo (Enniskillen Airport) had to be removed from site on 10 January, prior to being relocated ",,,,,
"      to Thomas Town, Enniskillen on 5 February 2013. ",,,,,
"      The new site has been named Enniskillen and, for technical reasons, RIMNET data previously attributable to St Angelo will henceforth be held ",,,,,
      under the new site name of Enniskillen.,,,,,
