Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
Nov-24,11.4,11.4,1.1,35.5,228.3,27.7,2.9,318.3,59.2,4.12,3.58,0.0,0.0,0.0,24.71
Dec-24,11.0,11.4,1.1,31.9,161.1,23.8,2.9,243.2,61.18,4.26,3.7,0.0,0.0,0.0,26.06
Jan-25,10.6,11.7,1.1,31.9,138.4,23.8,2.9,220.4,61.18,4.26,3.7,0.0,0.0,0.0,26.69
Feb-25,10.4,11.8,1.0,31.3,180.8,26.8,2.9,265.0,55.26,3.85,3.34,0.0,0.0,0.0,23.54
Mar-25,10.1,11.8,1.0,29.4,171.0,21.6,2.9,247.8,61.18,4.26,3.7,0.0,0.0,0.0,24.02
Apr-25,9.7,11.6,1.0,27.6,117.2,20.2,2.9,190.2,44.56,0.0,0.0,0.71,0.0,0.0,21.12
May-25,9.6,11.9,1.0,27.3,131.3,20.4,2.9,204.4,46.05,0.0,0.0,0.71,0.0,0.0,19.81
Jun-25,9.6,12.2,1.0,27.2,158.0,19.5,2.9,230.4,44.56,0.0,0.0,0.71,0.0,0.0,18.7
Jul-25,9.5,12.7,1.0,27.3,129.2,19.3,2.9,201.9,46.05,0.0,0.0,0.71,0.0,0.0,19.41
Aug-25,9.4,13.2,1.0,27.9,125.5,20.8,2.9,200.7,46.05,0.0,0.0,0.71,0.0,0.0,19.43
Sep-25,9.4,13.6,1.0,28.0,165.8,20.4,2.9,241.1,44.56,0.0,0.0,0.71,0.0,0.0,19.95
Oct-25,9.2,14.0,1.0,28.7,214.0,21.2,2.9,291.0,46.05,0.0,0.0,0.71,-8.86,40.27,22.14
Nov-25,9.2,14.5,0.9,28.8,196.7,22.3,2.9,275.3,44.56,0.0,0.0,0.71,-8.57,38.97,23.78
Dec-25,8.7,16.4,0.9,29.1,165.3,23.8,2.9,247.1,46.05,0.0,0.0,0.71,-8.86,40.27,25.21
Jan-26,8.3,18.0,0.9,28.9,136.2,23.7,2.9,218.9,46.05,0.0,0.0,0.71,-8.86,40.27,26.01
Feb-26,7.7,17.5,0.9,27.0,146.5,24.9,2.9,227.4,41.59,0.0,0.0,0.71,-8.0,36.37,23.21
Mar-26,7.7,20.2,0.9,28.2,133.4,24.8,2.9,218.1,46.05,0.0,0.0,0.71,-8.86,40.27,23.74
Apr-26,7.6,20.3,0.8,27.4,105.5,24.3,2.9,188.8,44.56,0.0,0.0,2.76,0.0,0.0,21.17
May-26,7.2,22.0,0.8,27.7,110.0,26.0,2.9,196.6,46.05,0.0,0.0,2.76,0.0,0.0,19.76
Jun-26,6.8,20.9,0.8,26.7,108.6,25.8,2.9,192.5,44.56,0.0,0.0,2.76,0.0,0.0,18.77
Jul-26,6.9,22.6,0.7,27.8,102.7,25.6,2.9,189.2,46.05,0.0,0.0,2.76,0.0,0.0,19.39
Aug-26,6.8,22.8,0.7,27.6,111.8,25.8,2.9,198.4,46.05,0.0,0.0,2.76,0.0,0.0,19.44
Sep-26,6.2,22.6,0.9,27.0,133.5,26.3,2.9,219.4,44.56,0.0,0.0,2.76,0.0,0.0,19.97
Oct-26,5.8,23.8,0.8,27.7,160.9,26.4,2.9,248.3,46.05,0.0,0.0,2.76,0.0,0.0,22.19
